way,human_0,human_1,Egte,Elt,Tgte,Tlt,M,Lgte,Llt
ETML,,,,,,,,11.93,
ETML,,622,,,,,"Average HDPE/LDPE|Carbohydrates|HDPE|Ionomer (Surlyn 1652, 1702)|LDPE|Nylon 6|Polyoxymethylene (POM)|Silicone rubber|Starch, Cellulose",,11.93
ETML,"380 ,571",,,,,,Polydimethylsiloxane (PDMS)|Polystyrene (PS),,2.74
ETML,,542,,55.66,,,Ethylene-propylene copolymer|LLDPE|Poly 2-hydroxyethylmethacrylate|Polycaprolactone related polymers|Polydimethylsiloxane (PDMS)|PP homopolymer,3.11,11.93
ETML,380,571,,,,,Polydimethylsiloxane (PDMS)|Polystyrene (PS),,2.74
ETML,,,,,,24,LLDPE,1.94,2.985
ETML,"622 ,19","542 ,405",,10,,,HDPE|LDPE|Nylon 6,,4.85
ETML,,,72.9,,,,Ethylene-propylene copolymer|Ethylene-vinyl acetate copolymer (EVA)|LLDPE|PET|Poly 2-hydroxyethylmethacrylate|Polycaprolactone related polymers|PP homopolymer|PVC,2.985,3.11
ETML,542,,,,,19,Ethylene-propylene copolymer|LLDPE|Poly 2-hydroxyethylmethacrylate|Polycaprolactone related polymers|Polydimethylsiloxane (PDMS)|PP homopolymer,3.605,11.93
ETML,,11,72.9,,,24,PVC,,2.355
ETML,"622 ,405",542,,52.9,,,HDPE|LDPE|Nylon 6,,1.7
ETML,"622 ,542 ,189 ,186",,60.71,72.35,,,HDPE|LDPE|Nylon 6,9.67,11.93
ETML,374,,72.9,,,,PVC,3.11,11.93
ETML,"622 ,405",542,,30,,,HDPE|LDPE|Nylon 6,5.63,11.93
ETML,"622 ,542 ,189 ,186 ,19",679,30,50,15,21.5,HDPE|LDPE|Nylon 6,3.27,4.165
ETML,"622 ,405",542,42.9,52.9,,,HDPE|LDPE|Nylon 6,3.565,11.93
ETML,"622 ,542","189 ,206",,72.35,,,HDPE|LDPE|Nylon 6,6.535,6.75
